postal_code,latitude,longitude
1745,50.9691126,4.1833333
1750,50.8108689,4.168554
1755,50.7753096,4.0685655
1760,50.8412868,4.0879776
1761,50.8532264,4.0711687
1770,50.8688413,4.08729
1780,50.9059555,4.31117235
1785,50.95739,4.231724
1790,50.90400191,4.11281
1800,50.927262,4.424078
1820,50.918125,4.50996895
1830,50.9122096,4.4327968
1831,50.897621,4.4346964
1840,51.0123807,4.2936279
1850,50.9356235,4.3785596
1851,50.9800994,4.3795118
1853,50.9103669,4.35438705
1860,50.94452757,4.3252902
1861,50.971665,4.313636
1880,51.00163,4.354109
1910,50.935783799999996,4.5591656
1930,50.88458155,4.4731115
1932,50.8596662,4.4505529
1933,50.84492,4.5166
1950,50.84075545,4.46813505
1970,50.84384,4.486123
1980,50.976713849999996,4.45539965
1981,50.9919877,4.499445
1982,50.973642749999996,4.49726205
2000,51.2207503,4.4084293
2018,51.2034378,4.42385
2020,51.18501465,4.3871003
2030,51.25637147,4.42214161
2040,51.34628,4.3109461
2050,51.22263,4.373355
2060,51.22376055,4.425046999999999
2070,51.2083652,4.3345845
2100,51.2244146,4.46798875
2110,51.22776,4.52385
2140,51.2122283,4.440726
2150,51.1976834,4.479376
2160,51.19652,4.519094
2170,51.24872499999999,4.43983525
2180,51.28247,4.4187131
2200,51.17516,4.835991
2220,51.075046549999996,4.7209688199999995
2221,51.05151,4.775241449999999
2222,51.10321,4.72927
2223,51.02745,4.69272
2230,51.0288416,4.855183500000001
2235,51.06166,4.80916
2240,51.2133,4.656548
2242,51.21775,4.703263
2250,51.17094128,4.9011193
2260,51.09119493,4.865269
2270,51.13986,4.759036500000001
2275,51.24648465,4.825249
2280,51.176975,4.7431011
2288,51.1678753,4.74264845
2290,51.2076583,4.760538
2300,51.32327,4.950855
2310,51.3370456,4.76806355
2320,51.4006717,4.758554
2321,51.44798,4.738651
2322,51.41634235,4.75619185
2323,51.3996892,4.7949931
2328,51.47191,4.799424999999999
2330,51.36223,4.8634
2340,51.314935000000006,4.8408795
2350,51.31131,4.876492
2360,51.31913,4.979461000000001
2370,51.32114,5.089265
2380,51.397,4.99773885
2381,51.408266499999996,4.9973604
2382,51.4523194,5.070582399999999
2387,51.44545,4.922318
2390,51.302045,4.736116
2400,51.21873,5.082584
2430,51.0842629,5.0303597
2431,51.067834,4.9847479
2440,51.16024,4.988571
2450,51.1227,5.049928
2460,51.228645,4.9070149999999995
2470,51.267710365,5.086768265
2480,51.2403178,5.1161792
2490,51.17245,5.171381
2491,51.13744,5.159593
2500,51.13092,4.5752578
2520,51.18155985,4.5985501
2530,51.16444545,4.506591520000001
2531,51.17694395,4.5254998
2540,51.15105615,4.4661095500000005
2547,51.12426442,4.49251
2550,51.12767,4.447738
2560,51.159440000000004,4.6607199
2570,51.09455,4.49998
2580,51.05786,4.6360281
2590,51.11613,4.658483
2600,51.194185000000004,4.438586
2610,51.1756588,4.391529
2620,51.14045,4.3406043
2627,51.12536967,4.34020002
2630,51.134194750000006,4.3815082
2640,51.16694,4.46047
2650,51.16632,4.4408719
2660,51.1755993,4.360142
2800,51.03174,4.4824116
2801,51.0551071,4.4199803
2811,51.0160276,4.4379926
2812,51.03645,4.472265
2820,51.0201317,4.5819274
2830,51.059801,4.360088
2840,51.0876027,4.403498
2845,51.1081767,4.3319164
2850,51.0916155,4.368699
2860,51.0559265,4.515997
2861,51.05939,4.5754857
2870,51.07841,4.324826
2880,51.09804765,4.23949135
2890,51.05596,4.205235
2900,51.2578165,4.49966625
2910,51.4648802,4.461677075000001
2920,51.38741,4.473827
2930,51.296189999999996,4.4961345
2940,51.3355885,4.3673341
2950,51.34865,4.399585
2960,51.32225335,4.59224625
2970,51.2407352,4.5834231
2980,51.268131350000004,4.6827272
2990,51.3897291,4.59115
3000,50.88030645,4.7014459
3001,50.86775168,4.6971332
3010,50.8896717,4.75177925
3012,50.91741945,4.71042055
3018,50.925839999999994,4.6951215
3020,50.91101,4.6692071
3040,50.804694025,4.623583849999999
3050,50.82869,4.7236137
3053,50.8338736,4.7236137
3060,50.8504804,4.6360984
3061,50.8458281,4.5815327
3070,50.88495,4.53058
3071,50.9008171,4.551327
3078,50.87185665,4.535217100000001
3080,50.82595,4.5184769
3090,50.77381,4.52828405
3110,50.9522331,4.7208681
3111,50.94760445,4.7507749
3118,50.973358250000004,4.7042372
3120,50.99384285,4.7051464
3128,50.99641055,4.74546455
3130,51.0201,4.786383
3140,51.0036629,4.6446958
3150,50.9749473,4.6341685
3190,50.97827,4.57949
3191,50.9862063,4.5216551
3200,50.981739000000005,4.8331574
3201,51.008325,4.8804625
3202,50.9748595,4.8897186
3210,50.8803783,4.82530405
3212,50.8806495,4.79214
3220,50.9245297,4.8171177
3270,50.9785,4.9785767
3271,51.037353350000004,4.971248
3272,51.00058,4.936862
3290,50.99284,5.049117
3294,51.00378,5.0322917
3300,50.805589999999995,4.9392247000000005
3320,50.7737255,4.8962341
3350,50.8284848,5.06186
3360,50.8340955,4.7634816
3370,50.843516199999996,4.8442739
3390,50.93181,4.905673
3391,50.90280945,4.9200456
3400,50.7515227,5.0768048
3401,50.72676745,5.08549655
3404,50.77009,5.089726
3440,50.8404304,5.099409
3450,50.896125,5.10887245
3454,50.88896845,5.1625621
3460,50.93763,4.954723
3470,50.9055681,5.0452142
3500,50.933415,5.3361143
3510,50.9462,5.2317949
3511,50.95338,5.328397
3520,50.98898,5.3683087
3530,51.03512,5.38331035
3540,50.9422649,5.182398
3545,50.9628515,5.108007725
3550,51.0285412,5.28902
3560,51.006910399999995,5.1997988
3570,50.8725036,5.2729369
3580,51.052196,5.2259399
3581,51.0890537,5.226411
3582,51.05924,5.270834
